1,Thu Aug 19 21:54:38 2021,125094,car,2,4856,PC7C042B7,PTE,VC965
2,Sat Jul 31 04:09:44 2021,174434,CAR,2,4154,PC2C2EF9E,PTP,VC965
3,Sat Aug 14 17:19:04 2021,8538286,CAR,2,4070,PCEECA8B2,PTE,VC965
4,Mon Aug  2 18:23:45 2021,5521221,CAR,2,4095,PC3E1512A,PTP,VC965
5,Thu Jul 29 22:44:20 2021,3267767,CAR,2,4135,PCC943ECD,PTE,VC965
6,Sat Aug 14 03:57:47 2021,8411850,CAR,2,4680,PCC422F4D,PTE,VC965
7,Thu Aug 12 03:41:22 2021,6064250,CAR,2,4702,PCDBC3AC9,PTE,VC965
8,Sun Aug 22 10:29:58 2021,6871937,VAN,2,4592,PC627AA14,PTE,VCD2F
9,Fri Aug  6 14:23:08 2021,2055930,CAR,2,4100,PCC6DD8D5,PTP,VC965
10,Sun Aug 15 13:43:51 2021,8775910,CAR,2,4143,PC5F47DCF,PTC,VC965
11,Wed Aug  4 15:52:13 2021,4525747,CAR,2,4466,PC6E93A05,PTE,VC965
12,Wed Aug 18 02:22:15 2021,5276143,VAN,2,4352,PC99B9343,PTC,VCD2F
13,Thu Aug 19 16:01:02 2021,5405144,VAN,2,4574,PCC1F6F13,PTP,VCD2F
14,Tue Aug  3 14:55:00 2021,9309466,CAR,2,4902,PC425C6EC,PTE,VC965
15,Thu Aug  5 04:00:30 2021,6494070,VAN,2,4012,PCEF5C190,PTC,VCD2F
16,Sun Aug  8 13:08:17 2021,4880588,CAR,2,4458,PCECEBBFA,PTE,VC965
17,Wed Aug  4 04:56:15 2021,6964507,CAR,2,4886,PC4D892D7,PTC,VC965
18,Sun Aug 15 11:22:44 2021,5740782,TRUCK,4,4680,PCC422F4D,PTP,VCB43
19,Fri Jul 30 11:20:47 2021,1060261,VAN,2,4899,PC4967767,PTP,VCD2F
20,Sun Aug  8 21:22:56 2021,6599783,CAR,2,4855,PC03C5C15,PTP,VC965
21,Wed Aug 11 10:33:15 2021,4573378,CAR,2,4737,PCED7EAFE,PTC,VC965
22,Fri Aug  6 02:02:33 2021,1362666,CAR,2,4140,PC5D4821F,PTP,VC965
23,Mon Aug  9 05:07:58 2021,9227112,CAR,2,4961,PC92C5115,PTP,VC965
24,Fri Aug 13 18:21:04 2021,1245885,CAR,2,4148,PCDFBBEBB,PTP,VC965
25,Thu Aug 12 01:36:28 2021,6702238,CAR,2,4630,PCA26D872,PTE,VC965
26,Wed Aug 11 04:05:21 2021,7598066,CAR,2,5003,PCAC9371E,PTP,VC965
27,Sun Aug  8 19:09:41 2021,2959560,CAR,2,4243,PCC4F7DCE,PTE,VC965
28,Sun Aug  1 02:04:42 2021,9223690,CAR,2,4023,PC77793DF,PTP,VC965
29,Sun Aug 15 11:11:42 2021,495967,CAR,2,4987,PCF4A9637,PTE,VC965
30,Sat Aug 14 03:39:26 2021,1920115,CAR,2,4755,PC628DCED,PTE,VC965
31,Wed Aug 18 23:33:41 2021,9940618,TRUCK,4,4079,PCF1366ED,PTE,VCB43
32,Fri Aug  6 10:18:54 2021,733942,CAR,2,4616,PCE6675F9,PTE,VC965
33,Thu Aug 19 15:58:25 2021,3232373,TRUCK,4,4245,PC6594AD4,PTP,VCB43
34,Thu Aug 19 07:23:18 2021,2164250,TRUCK,4,4090,PC1EE951B,PTE,VCB43
35,Sun Aug  1 09:10:05 2021,3714822,TRUCK,4,4383,PC4BFE950,PTE,VCB43
36,Sat Aug  7 13:11:54 2021,9870882,VAN,2,4449,PCAACD453,PTC,VCD2F
37,Tue Aug 10 01:27:00 2021,834998,CAR,2,4351,PC4E572D8,PTP,VC965
38,Tue Aug 10 14:31:35 2021,6715866,CAR,2,4159,PC5631507,PTE,VC965
39,Sun Aug  8 09:43:26 2021,9723146,CAR,2,4018,PCCB2657A,PTC,VC965
40,Mon Aug  2 16:18:51 2021,2871310,CAR,2,4827,PC7D68CD9,PTE,VC965
41,Sat Aug 14 13:13:47 2021,7657312,VAN,2,4115,PCF5D4B0A,PTC,VCD2F
42,Tue Aug  3 03:53:05 2021,9802000,CAR,2,4102,PC8C9B099,PTE,VC965
43,Mon Aug 16 00:36:00 2021,6514220,CAR,2,4398,PCE60D320,PTP,VC965
44,Fri Aug 20 02:10:55 2021,3803763,CAR,2,4918,PC8F8E598,PTE,VC965
45,Sat Aug 14 06:32:07 2021,2223161,CAR,2,4984,PCBABF130,PTP,VC965
46,Fri Jul 30 02:19:56 2021,1228573,TRUCK,4,4460,PCDF04952,PTP,VCB43
47,Wed Aug  4 14:30:03 2021,4872795,CAR,2,4326,PC356AE8F,PTC,VC965
48,Sat Aug 14 04:04:45 2021,2074513,VAN,2,4600,PCB99E8F9,PTE,VCD2F
49,Thu Aug 12 04:58:14 2021,7368256,CAR,2,4735,PC2294422,PTE,VC965
50,Wed Aug 11 10:50:27 2021,2168309,CAR,2,4162,PC51A39A7,PTP,VC965
